"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2025-06-04 16:26:00,198,165,,1,5834,282,300,0
2025-06-04 16:28:00,199,169,,1,5880,278,297,0
2025-06-04 16:30:00,198,169,747,1,5930,279,299,0
2025-06-04 16:32:00,199,176,,1,5978,277,295,0
2025-06-04 16:34:00,199,174,,1,6026,277,295,0
2025-06-04 16:36:00,199,178,,1,6072,274,292,0
2025-06-04 16:38:00,198,174,,1,6122,275,293,0
2025-06-04 16:40:00,198,157,,1,6168,270,287,0
2025-06-04 16:42:00,198,166,,1,6218,272,290,0
2025-06-04 16:44:00,198,166,,1,6264,290,308,0
2025-06-04 16:46:00,198,174,,1,6312,275,293,0
2025-06-04 16:48:00,199,167,,1,6362,266,285,0
2025-06-04 16:50:00,198,166,,1,6408,282,300,0
2025-06-04 16:52:00,198,172,,1,6459,278,297,0
2025-06-04 16:54:00,198,167,,1,6505,261,278,0
2025-06-04 16:56:00,198,163,,1,6553,274,292,0
2025-06-04 16:58:00,198,167,,1,6601,274,293,0
2025-06-04 17:00:00,199,166,746,1,6649,274,292,0
2025-06-04 17:02:00,198,157,,1,6702,268,286,0
2025-06-04 17:04:00,198,171,,1,6746,261,280,0
2025-06-04 17:06:00,198,178,,1,6794,271,290,0
2025-06-04 17:08:00,199,166,,1,6842,281,299,0
2025-06-04 17:10:00,198,173,,1,6891,264,282,0
2025-06-04 17:12:00,199,172,,1,6943,254,272,0
2025-06-04 17:14:00,198,179,,1,6989,273,290,0
2025-06-04 17:16:00,199,169,,1,7036,276,294,0
2025-06-04 17:18:00,199,175,,1,7085,266,285,0
2025-06-04 17:20:00,199,161,,1,7131,271,289,0
2025-06-04 17:22:00,198,160,,1,7179,270,288,0
2025-06-04 17:24:00,198,186,,1,7230,269,287,0
2025-06-04 17:26:00,198,172,,1,7276,271,289,0
2025-06-04 17:28:00,198,174,,1,7324,261,279,0
2025-06-04 17:30:00,198,153,746,1,7372,261,280,0
2025-06-04 17:32:00,198,171,,1,7424,279,298,0
2025-06-04 17:34:00,199,160,,1,7471,267,285,0
2025-06-04 17:36:00,198,173,,1,7517,259,278,0
2025-06-04 17:38:00,198,171,,1,7567,282,302,0
2025-06-04 17:40:00,198,173,,1,7613,269,286,0
2025-06-04 17:42:00,198,187,,1,7664,270,288,0
2025-06-04 17:44:00,198,168,,1,7709,271,289,0
2025-06-04 17:46:00,198,182,,1,4100,273,295,0
2025-06-04 17:48:00,198,164,,1,4148,270,288,0
2025-06-04 17:50:00,198,165,,1,4197,277,294,0
2025-06-04 17:52:00,198,153,,1,4244,263,282,0
2025-06-04 17:54:00,199,173,,1,4292,261,279,0
2025-06-04 17:56:00,198,174,,1,4340,279,297,0
2025-06-04 17:58:00,199,165,,1,4386,264,282,0
2025-06-04 18:00:00,196,172,744,1,4430,261,279,0
2025-06-04 18:02:00,198,160,,1,4484,276,294,0
2025-06-04 18:04:00,206,168,,1,4546,270,288,0
2025-06-04 18:06:00,206,175,,1,4591,271,289,0
2025-06-04 18:08:00,205,170,,1,4632,270,288,0
2025-06-04 18:10:00,199,176,,1,4680,262,279,0.400
2025-06-04 18:12:00,199,157,,1,4722,271,289,0
2025-06-04 18:14:00,199,167,,1,4772,279,296,0
